#This is the full journey report starting at time 0
#For every pair of vertices, the foremost and shortest journeys are displayed
#Each edge is in the form (originNode[traversalTime]destinationNode)

#This report is for the trace: null
#Uploaded to DTNTES by: null
#No link to the trace was provided


Node 24 to node 28
Foremost Journey: 24 [49] 28
Shortest Journey: 24 [49] 28

Node 24 to node 29
Foremost Journey: 24 [49] 29
Shortest Journey: 24 [49] 29

Node 24 to node 30
Foremost Journey: 24 [49] 30
Shortest Journey: 24 [49] 30

Node 24 to node 31
Foremost Journey: 24 [49] 31
Shortest Journey: 24 [49] 31

Node 24 to node 32
Foremost Journey: 24 [49] 32
Shortest Journey: 24 [49] 32

Node 24 to node 33
Foremost Journey: 24 [49] 33
Shortest Journey: 24 [49] 33

Node 24 to node 34
Foremost Journey: 24 [49] 34
Shortest Journey: 24 [49] 34

Node 24 to node 35
Foremost Journey: 24 [49] 35
Shortest Journey: 24 [49] 35

Node 24 to node 36
Foremost Journey: 24 [49] 36
Shortest Journey: 24 [49] 36

Node 24 to node 37
Foremost Journey: 24 [49] 37
Shortest Journey: 24 [49] 37

Node 24 to node 38
Foremost Journey: 24 [49] 38
Shortest Journey: 24 [49] 38

Node 24 to node 39
Foremost Journey: 24 [49] 39
Shortest Journey: 24 [49] 39

Node 24 to node 40
Foremost Journey: 24 [49] 40
Shortest Journey: 24 [49] 40

Node 24 to node 41
Foremost Journey: 24 [49] 41
Shortest Journey: 24 [49] 41

Node 24 to node 42
Foremost Journey: 24 [49] 42
Shortest Journey: 24 [49] 42

Node 24 to node 43
Foremost Journey: 24 [49] 43
Shortest Journey: 24 [49] 43

Node 24 to node 44
Foremost Journey: 24 [49] 44
Shortest Journey: 24 [49] 44

Node 24 to node 45
Foremost Journey: 24 [49] 45
Shortest Journey: 24 [49] 45

Node 24 to node 46
Foremost Journey: 24 [49] 46
Shortest Journey: 24 [49] 46

Node 24 to node 47
Foremost Journey: 24 [49] 47
Shortest Journey: 24 [49] 47

Node 24 to node 48
Foremost Journey: 24 [49] 48
Shortest Journey: 24 [49] 48

Node 24 to node 49
Foremost Journey: 24 [49] 49
Shortest Journey: 24 [49] 49

Node 25 to node 0
Foremost Journey: 25 [49] 0
Shortest Journey: 25 [49] 0

Node 25 to node 1
Foremost Journey: 25 [49] 1
Shortest Journey: 25 [49] 1

Node 25 to node 2
Foremost Journey: 25 [49] 2
Shortest Journey: 25 [49] 2

Node 25 to node 3
Foremost Journey: 25 [49] 3
Shortest Journey: 25 [49] 3

Node 25 to node 4
Foremost Journey: 25 [49] 4
Shortest Journey: 25 [49] 4

Node 25 to node 5
Foremost Journey: 25 [49] 5
Shortest Journey: 25 [49] 5

Node 25 to node 6
Foremost Journey: 25 [49] 6
Shortest Journey: 25 [49] 6

Node 25 to node 7
Foremost Journey: 25 [49] 7
Shortest Journey: 25 [49] 7

Node 25 to node 8
Foremost Journey: 25 [49] 8
Shortest Journey: 25 [49] 8

Node 25 to node 9
Foremost Journey: 25 [49] 9
Shortest Journey: 25 [49] 9

Node 25 to node 10
Foremost Journey: 25 [49] 10
Shortest Journey: 25 [49] 10

Node 25 to node 11
Foremost Journey: 25 [49] 11
Shortest Journey: 25 [49] 11

Node 25 to node 12
Foremost Journey: 25 [49] 12
Shortest Journey: 25 [49] 12

Node 25 to node 13
Foremost Journey: 25 [49] 13
Shortest Journey: 25 [49] 13

Node 25 to node 14
Foremost Journey: 25 [49] 14
Shortest Journey: 25 [49] 14

Node 25 to node 15
Foremost Journey: 25 [49] 15
Shortest Journey: 25 [49] 15

Node 25 to node 16
Foremost Journey: 25 [49] 16
Shortest Journey: 25 [49] 16

Node 25 to node 17
Foremost Journey: 25 [49] 17
Shortest Journey: 25 [49] 17

Node 25 to node 18
Foremost Journey: 25 [49] 18
Shortest Journey: 25 [49] 18

Node 25 to node 19
Foremost Journey: 25 [49] 19
Shortest Journey: 25 [49] 19

Node 25 to node 20
Foremost Journey: 25 [49] 20
Shortest Journey: 25 [49] 20

Node 25 to node 21
Foremost Journey: 25 [49] 21
Shortest Journey: 25 [49] 21

Node 25 to node 22
Foremost Journey: 25 [49] 22
Shortest Journey: 25 [49] 22

Node 25 to node 23
Foremost Journey: 25 [49] 23
Shortest Journey: 25 [49] 23

Node 25 to node 24
Foremost Journey: 25 [49] 24
Shortest Journey: 25 [49] 24

Node 25 to node 26
Foremost Journey: 25 [49] 26
Shortest Journey: 25 [49] 26

Node 25 to node 27
Foremost Journey: 25 [49] 27
Shortest Journey: 25 [49] 27

Node 25 to node 28
Foremost Journey: 25 [49] 28
Shortest Journey: 25 [49] 28

Node 25 to node 29
Foremost Journey: 25 [49] 29
Shortest Journey: 25 [49] 29

Node 25 to node 30
Foremost Journey: 25 [49] 30
Shortest Journey: 25 [49] 30

Node 25 to node 31
Foremost Journey: 25 [49] 31
Shortest Journey: 25 [49] 31

Node 25 to node 32
Foremost Journey: 25 [49] 32
Shortest Journey: 25 [49] 32

Node 25 to node 33
Foremost Journey: 25 [49] 33
Shortest Journey: 25 [49] 33

Node 25 to node 34
Foremost Journey: 25 [49] 34
Shortest Journey: 25 [49] 34

Node 25 to node 35
Foremost Journey: 25 [49] 35
Shortest Journey: 25 [49] 35

Node 25 to node 36
Foremost Journey: 25 [49] 36
Shortest Journey: 25 [49] 36

Node 25 to node 37
Foremost Journey: 25 [49] 37
Shortest Journey: 25 [49] 37

Node 25 to node 38
Foremost Journey: 25 [49] 38
Shortest Journey: 25 [49] 38

Node 25 to node 39
Foremost Journey: 25 [49] 39
Shortest Journey: 25 [49] 39

Node 25 to node 40
Foremost Journey: 25 [49] 40
Shortest Journey: 25 [49] 40

Node 25 to node 41
Foremost Journey: 25 [49] 41
Shortest Journey: 25 [49] 41

Node 25 to node 42
Foremost Journey: 25 [49] 42
Shortest Journey: 25 [49] 42

Node 25 to node 43
Foremost Journey: 25 [49] 43
Shortest Journey: 25 [49] 43

Node 25 to node 44
Foremost Journey: 25 [49] 44
Shortest Journey: 25 [49] 44

Node 25 to node 45
Foremost Journey: 25 [49] 45
Shortest Journey: 25 [49] 45

Node 25 to node 46
Foremost Journey: 25 [49] 46
Shortest Journey: 25 [49] 46

Node 25 to node 47
Foremost Journey: 25 [49] 47
Shortest Journey: 25 [49] 47

Node 25 to node 48
Foremost Journey: 25 [49] 48
Shortest Journey: 25 [49] 48

Node 25 to node 49
Foremost Journey: 25 [49] 49
Shortest Journey: 25 [49] 49

Node 26 to node 0
Foremost Journey: 26 [49] 0
Shortest Journey: 26 [49] 0

Node 26 to node 1
Foremost Journey: 26 [49] 1
Shortest Journey: 26 [49] 1

Node 26 to node 2
Foremost Journey: 26 [49] 2
Shortest Journey: 26 [49] 2

Node 26 to node 3
Foremost Journey: 26 [49] 3
Shortest Journey: 26 [49] 3

Node 26 to node 4
Foremost Journey: 26 [49] 4
Shortest Journey: 26 [49] 4

Node 26 to node 5
Foremost Journey: 26 [49] 5
Shortest Journey: 26 [49] 5

Node 26 to node 6
Foremost Journey: 26 [49] 6
Shortest Journey: 26 [49] 6

Node 26 to node 7
Foremost Journey: 26 [49] 7
Shortest Journey: 26 [49] 7

Node 26 to node 8
Foremost Journey: 26 [49] 8
Shortest Journey: 26 [49] 8

Node 26 to node 9
Foremost Journey: 26 [49] 9
Shortest Journey: 26 [49] 9

Node 26 to node 10
Foremost Journey: 26 [49] 10
Shortest Journey: 26 [49] 10

Node 26 to node 11
Foremost Journey: 26 [49] 11
Shortest Journey: 26 [49] 11

Node 26 to node 12
Foremost Journey: 26 [49] 12
Shortest Journey: 26 [49] 12

Node 26 to node 13
Foremost Journey: 26 [49] 13
Shortest Journey: 26 [49] 13

Node 26 to node 14
Foremost Journey: 26 [49] 14
Shortest Journey: 26 [49] 14

Node 26 to node 15
Foremost Journey: 26 [49] 15
Shortest Journey: 26 [49] 15

Node 26 to node 16
Foremost Journey: 26 [49] 16
Shortest Journey: 26 [49] 16

Node 26 to node 17
Foremost Journey: 26 [49] 17
Shortest Journey: 26 [49] 17

Node 26 to node 18
Foremost Journey: 26 [49] 18
Shortest Journey: 26 [49] 18

Node 26 to node 19
Foremost Journey: 26 [49] 19
Shortest Journey: 26 [49] 19

Node 26 to node 20
Foremost Journey: 26 [49] 20
Shortest Journey: 26 [49] 20

Node 26 to node 21
Foremost Journey: 26 [49] 21
Shortest Journey: 26 [49] 21

Node 26 to node 22
Foremost Journey: 26 [49] 22
Shortest Journey: 26 [49] 22

Node 26 to node 23
Foremost Journey: 26 [49] 23
Shortest Journey: 26 [49] 23

Node 26 to node 24
Foremost Journey: 26 [49] 24
Shortest Journey: 26 [49] 24

Node 26 to node 25
Foremost Journey: 26 [49] 25
Shortest Journey: 26 [49] 25

Node 26 to node 27
Foremost Journey: 26 [49] 27
Shortest Journey: 26 [49] 27

Node 26 to node 28
Foremost Journey: 26 [49] 28
Shortest Journey: 26 [49] 28

Node 26 to node 29
Foremost Journey: 26 [49] 29
Shortest Journey: 26 [49] 29

Node 26 to node 30
Foremost Journey: 26 [49] 30
Shortest Journey: 26 [49] 30

Node 26 to node 31
Foremost Journey: 26 [49] 31
Shortest Journey: 26 [49] 31

Node 26 to node 32
Foremost Journey: 26 [49] 32
Shortest Journey: 26 [49] 32

Node 26 to node 33
Foremost Journey: 26 [49] 33
Shortest Journey: 26 [49] 33

Node 26 to node 34
Foremost Journey: 26 [49] 34
Shortest Journey: 26 [49] 34

Node 26 to node 35
Foremost Journey: 26 [49] 35
Shortest Journey: 26 [49] 35

Node 26 to node 36
Foremost Journey: 26 [49] 36
Shortest Journey: 26 [49] 36

Node 26 to node 37
Foremost Journey: 26 [49] 37
Shortest Journey: 26 [49] 37

Node 26 to node 38
Foremost Journey: 26 [49] 38
Shortest Journey: 26 [49] 38

Node 26 to node 39
Foremost Journey: 26 [49] 39
Shortest Journey: 26 [49] 39

Node 26 to node 40
Foremost Journey: 26 [49] 40
Shortest Journey: 26 [49] 40

Node 26 to node 41
Foremost Journey: 26 [49] 41
Shortest Journey: 26 [49] 41

Node 26 to node 42
Foremost Journey: 26 [49] 42
Shortest Journey: 26 [49] 42

Node 26 to node 43
Foremost Journey: 26 [49] 43
Shortest Journey: 26 [49] 43

Node 26 to node 44
Foremost Journey: 26 [49] 44
Shortest Journey: 26 [49] 44

Node 26 to node 45
Foremost Journey: 26 [49] 45
Shortest Journey: 26 [49] 45

Node 26 to node 46
Foremost Journey: 26 [49] 46
Shortest Journey: 26 [49] 46

Node 26 to node 47
Foremost Journey: 26 [49] 47
Shortest Journey: 26 [49] 47

Node 26 to node 48
Foremost Journey: 26 [49] 48
Shortest Journey: 26 [49] 48

Node 26 to node 49
Foremost Journey: 26 [49] 49
Shortest Journey: 26 [49] 49

Node 27 to node 0
Foremost Journey: 27 [49] 0
Shortest Journey: 27 [49] 0

Node 27 to node 1
Foremost Journey: 27 [49] 1
Shortest Journey: 27 [49] 1

Node 27 to node 2
Foremost Journey: 27 [49] 2
Shortest Journey: 27 [49] 2

Node 27 to node 3
Foremost Journey: 27 [49] 3
Shortest Journey: 27 [49] 3

Node 27 to node 4
Foremost Journey: 27 [49] 4
Shortest Journey: 27 [49] 4

Node 27 to node 5
Foremost Journey: 27 [49] 5
Shortest Journey: 27 [49] 5

Node 27 to node 6
Foremost Journey: 27 [49] 6
Shortest Journey: 27 [49] 6

Node 27 to node 7
Foremost Journey: 27 [49] 7
Shortest Journey: 27 [49] 7

Node 27 to node 8
Foremost Journey: 27 [49] 8
Shortest Journey: 27 [49] 8

Node 27 to node 9
Foremost Journey: 27 [49] 9
Shortest Journey: 27 [49] 9

Node 27 to node 10
Foremost Journey: 27 [49] 10
Shortest Journey: 27 [49] 10

Node 27 to node 11
Foremost Journey: 27 [49] 11
Shortest Journey: 27 [49] 11

Node 27 to node 12
Foremost Journey: 27 [49] 12
Shortest Journey: 27 [49] 12

Node 27 to node 13
Foremost Journey: 27 [49] 13
Shortest Journey: 27 [49] 13

Node 27 to node 14
Foremost Journey: 27 [49] 14
Shortest Journey: 27 [49] 14

Node 27 to node 15
Foremost Journey: 27 [49] 15
Shortest Journey: 27 [49] 15

Node 27 to node 16
Foremost Journey: 27 [49] 16
Shortest Journey: 27 [49] 16

Node 27 to node 17
Foremost Journey: 27 [49] 17
Shortest Journey: 27 [49] 17

Node 27 to node 18
Foremost Journey: 27 [49] 18
Shortest Journey: 27 [49] 18

Node 27 to node 19
Foremost Journey: 27 [49] 19
Shortest Journey: 27 [49] 19

Node 27 to node 20
Foremost Journey: 27 [49] 20
Shortest Journey: 27 [49] 20

Node 27 to node 21
Foremost Journey: 27 [49] 21
Shortest Journey: 27 [49] 21

Node 27 to node 22
Foremost Journey: 27 [49] 22
Shortest Journey: 27 [49] 22

Node 27 to node 23
Foremost Journey: 27 [49] 23
Shortest Journey: 27 [49] 23

Node 27 to node 24
Foremost Journey: 27 [49] 24
Shortest Journey: 27 [49] 24

Node 27 to node 25
Foremost Journey: 27 [49] 25
Shortest Journey: 27 [49] 25

Node 27 to node 26
Foremost Journey: 27 [49] 26
Shortest Journey: 27 [49] 26

Node 27 to node 28
Foremost Journey: 27 [49] 28
Shortest Journey: 27 [49] 28

Node 27 to node 29
Foremost Journey: 27 [49] 29
Shortest Journey: 27 [49] 29

Node 27 to node 30
Foremost Journey: 27 [49] 30
Shortest Journey: 27 [49] 30

Node 27 to node 31
Foremost Journey: 27 [49] 31
Shortest Journey: 27 [49] 31

Node 27 to node 32
Foremost Journey: 27 [49] 32
Shortest Journey: 27 [49] 32

Node 27 to node 33
Foremost Journey: 27 [49] 33
Shortest Journey: 27 [49] 33

Node 27 to node 34
Foremost Journey: 27 [49] 34
Shortest Journey: 27 [49] 34

Node 27 to node 35
Foremost Journey: 27 [49] 35
Shortest Journey: 27 [49] 35

Node 27 to node 36
Foremost Journey: 27 [49] 36
Shortest Journey: 27 [49] 36

Node 27 to node 37
Foremost Journey: 27 [49] 37
Shortest Journey: 27 [49] 37

Node 27 to node 38
Foremost Journey: 27 [49] 38
Shortest Journey: 27 [49] 38

Node 27 to node 39
Foremost Journey: 27 [49] 39
Shortest Journey: 27 [49] 39

Node 27 to node 40
Foremost Journey: 27 [49] 40
Shortest Journey: 27 [49] 40

Node 27 to node 41
Foremost Journey: 27 [49] 41
Shortest Journey: 27 [49] 41

Node 27 to node 42
Foremost Journey: 27 [49] 42
Shortest Journey: 27 [49] 42

Node 27 to node 43
Foremost Journey: 27 [49] 43
Shortest Journey: 27 [49] 43

Node 27 to node 44
Foremost Journey: 27 [49] 44
Shortest Journey: 27 [49] 44

Node 27 to node 45
Foremost Journey: 27 [49] 45
Shortest Journey: 27 [49] 45

Node 27 to node 46
Foremost Journey: 27 [49] 46
Shortest Journey: 27 [49] 46

Node 27 to node 47
Foremost Journey: 27 [49] 47
Shortest Journey: 27 [49] 47

Node 27 to node 48
Foremost Journey: 27 [49] 48
Shortest Journey: 27 [49] 48

Node 27 to node 49
Foremost Journey: 27 [49] 49
Shortest Journey: 27 [49] 49

Node 28 to node 0
Foremost Journey: 28 [49] 0
Shortest Journey: 28 [49] 0

Node 28 to node 1
Foremost Journey: 28 [49] 1
Shortest Journey: 28 [49] 1

Node 28 to node 2
Foremost Journey: 28 [49] 2
Shortest Journey: 28 [49] 2

Node 28 to node 3
Foremost Journey: 28 [49] 3
Shortest Journey: 28 [49] 3

Node 28 to node 4
Foremost Journey: 28 [49] 4
Shortest Journey: 28 [49] 4

Node 28 to node 5
Foremost Journey: 28 [49] 5
Shortest Journey: 28 [49] 5

Node 28 to node 6
Foremost Journey: 28 [49] 6
Shortest Journey: 28 [49] 6

Node 28 to node 7
Foremost Journey: 28 [49] 7
Shortest Journey: 28 [49] 7

Node 28 to node 8
Foremost Journey: 28 [49] 8
Shortest Journey: 28 [49] 8

Node 28 to node 9
Foremost Journey: 28 [49] 9
Shortest Journey: 28 [49] 9

Node 28 to node 10
Foremost Journey: 28 [49] 10
Shortest Journey: 28 [49] 10

Node 28 to node 11
Foremost Journey: 28 [49] 11
Shortest Journey: 28 [49] 11

Node 28 to node 12
Foremost Journey: 28 [49] 12
Shortest Journey: 28 [49] 12

Node 28 to node 13
Foremost Journey: 28 [49] 13
Shortest Journey: 28 [49] 13

Node 28 to node 14
Foremost Journey: 28 [49] 14
Shortest Journey: 28 [49] 14

Node 28 to node 15
Foremost Journey: 28 [49] 15
Shortest Journey: 28 [49] 15

Node 28 to node 16
Foremost Journey: 28 [49] 16
Shortest Journey: 28 [49] 16

Node 28 to node 17
Foremost Journey: 28 [49] 17
Shortest Journey: 28 [49] 17

Node 28 to node 18
Foremost Journey: 28 [49] 18
Shortest Journey: 28 [49] 18

Node 28 to node 19
Foremost Journey: 28 [49] 19
Shortest Journey: 28 [49] 19

Node 28 to node 20
Foremost Journey: 28 [49] 20
Shortest Journey: 28 [49] 20

Node 28 to node 21
Foremost Journey: 28 [49] 21
Shortest Journey: 28 [49] 21

Node 28 to node 22
Foremost Journey: 28 [49] 22
Shortest Journey: 28 [49] 22

Node 28 to node 23
Foremost Journey: 28 [49] 23
Shortest Journey: 28 [49] 23

Node 28 to node 24
Foremost Journey: 28 [49] 24
Shortest Journey: 28 [49] 24

Node 28 to node 25
Foremost Journey: 28 [49] 25
Shortest Journey: 28 [49] 25

Node 28 to node 26
Foremost Journey: 28 [49] 26
Shortest Journey: 28 [49] 26

Node 28 to node 27
Foremost Journey: 28 [49] 27
Shortest Journey: 28 [49] 27

Node 28 to node 29
Foremost Journey: 28 [49] 29
Shortest Journey: 28 [49] 29

Node 28 to node 30
Foremost Journey: 28 [49] 30
Shortest Journey: 28 [49] 30

Node 28 to node 31
Foremost Journey: 28 [49] 31
Shortest Journey: 28 [49] 31

Node 28 to node 32
Foremost Journey: 28 [49] 32
Shortest Journey: 28 [49] 32

Node 28 to node 33
Foremost Journey: 28 [49] 33
Shortest Journey: 28 [49] 33

Node 28 to node 34
Foremost Journey: 28 [49] 34
Shortest Journey: 28 [49] 34

Node 28 to node 35
Foremost Journey: 28 [49] 35
Shortest Journey: 28 [49] 35

Node 28 to node 36
Foremost Journey: 28 [49] 36
Shortest Journey: 28 [49] 36

Node 28 to node 37
Foremost Journey: 28 [49] 37
Shortest Journey: 28 [49] 37

Node 28 to node 38
Foremost Journey: 28 [49] 38
Shortest Journey: 28 [49] 38

Node 28 to node 39
Foremost Journey: 28 [49] 39
Shortest Journey: 28 [49] 39

Node 28 to node 40
Foremost Journey: 28 [49] 40
Shortest Journey: 28 [49] 40

Node 28 to node 41
Foremost Journey: 28 [49] 41
Shortest Journey: 28 [49] 41

Node 28 to node 42
Foremost Journey: 28 [49] 42
Shortest Journey: 28 [49] 42

Node 28 to node 43
Foremost Journey: 28 [49] 43
Shortest Journey: 28 [49] 43

Node 28 to node 44
Foremost Journey: 28 [49] 44
Shortest Journey: 28 [49] 44

Node 28 to node 45
Foremost Journey: 28 [49] 45
Shortest Journey: 28 [49] 45

Node 28 to node 46
Foremost Journey: 28 [49] 46
Shortest Journey: 28 [49] 46

Node 28 to node 47
Foremost Journey: 28 [49] 47
Shortest Journey: 28 [49] 47

Node 28 to node 48
Foremost Journey: 28 [49] 48
Shortest Journey: 28 [49] 48

Node 28 to node 49
Foremost Journey: 28 [49] 49
Shortest Journey: 28 [49] 49

Node 29 to node 0
Foremost Journey: 29 [49] 0
Shortest Journey: 29 [49] 0

Node 29 to node 1
Foremost Journey: 29 [49] 1
Shortest Journey: 29 [49] 1

Node 29 to node 2
Foremost Journey: 29 [49] 2
Shortest Journey: 29 [49] 2

Node 29 to node 3
Foremost Journey: 29 [49] 3
Shortest Journey: 29 [49] 3

Node 29 to node 4
Foremost Journey: 29 [49] 4
Shortest Journey: 29 [49] 4

Node 29 to node 5
Foremost Journey: 29 [49] 5
Shortest Journey: 29 [49] 5

Node 29 to node 6
Foremost Journey: 29 [49] 6
Shortest Journey: 29 [49] 6

Node 29 to node 7
Foremost Journey: 29 [49] 7
Shortest Journey: 29 [49] 7

Node 29 to node 8
Foremost Journey: 29 [49] 8
Shortest Journey: 29 [49] 8

Node 29 to node 9
Foremost Journey: 29 [49] 9
Shortest Journey: 29 [49] 9

Node 29 to node 10
Foremost Journey: 29 [49] 10
Shortest Journey: 29 [49] 10

Node 29 to node 11
Foremost Journey: 29 [49] 11
Shortest Journey: 29 [49] 11

Node 29 to node 12
Foremost Journey: 29 [49] 12
Shortest Journey: 29 [49] 12

Node 29 to node 13
Foremost Journey: 29 [49] 13
Shortest Journey: 29 [49] 13

Node 29 to node 14
Foremost Journey: 29 [49] 14
Shortest Journey: 29 [49] 14

Node 29 to node 15
Foremost Journey: 29 [49] 15
Shortest Journey: 29 [49] 15

Node 29 to node 16
Foremost Journey: 29 [49] 16
Shortest Journey: 29 [49] 16

Node 29 to node 17
Foremost Journey: 29 [49] 17
Shortest Journey: 29 [49] 17

Node 29 to node 18
Foremost Journey: 29 [49] 18
Shortest Journey: 29 [49] 18

Node 29 to node 19
Foremost Journey: 29 [49] 19
Shortest Journey: 29 [49] 19

Node 29 to node 20
Foremost Journey: 29 [49] 20
Shortest Journey: 29 [49] 20

Node 29 to node 21
Foremost Journey: 29 [49] 21
Shortest Journey: 29 [49] 21

Node 29 to node 22
Foremost Journey: 29 [49] 22
Shortest Journey: 29 [49] 22

Node 29 to node 23
Foremost Journey: 29 [49] 23
Shortest Journey: 29 [49] 23

Node 29 to node 24
Foremost Journey: 29 [49] 24
Shortest Journey: 29 [49] 24

Node 29 to node 25
Foremost Journey: 29 [49] 25
Shortest Journey: 29 [49] 25

Node 29 to node 26
Foremost Journey: 29 [49] 26
Shortest Journey: 29 [49] 26

Node 29 to node 27
Foremost Journey: 29 [49] 27
Shortest Journey: 29 [49] 27

Node 29 to node 28
Foremost Journey: 29 [49] 28
Shortest Journey: 29 [49] 28

Node 29 to node 30
Foremost Journey: 29 [49] 30
Shortest Journey: 29 [49] 30

Node 29 to node 31
Foremost Journey: 29 [49] 31
Shortest Journey: 29 [49] 31

Node 29 to node 32
Foremost Journey: 29 [49] 32
Shortest Journey: 29 [49] 32

Node 29 to node 33
Foremost Journey: 29 [49] 33
Shortest Journey: 29 [49] 33

Node 29 to node 34
Foremost Journey: 29 [49] 34
Shortest Journey: 29 [49] 34

Node 29 to node 35
Foremost Journey: 29 [49] 35
Shortest Journey: 29 [49] 35

Node 29 to node 36
Foremost Journey: 29 [49] 36
Shortest Journey: 29 [49] 36

Node 29 to node 37
Foremost Journey: 29 [49] 37
Shortest Journey: 29 [49] 37

Node 29 to node 38
Foremost Journey: 29 [49] 38
Shortest Journey: 29 [49] 38

Node 29 to node 39
Foremost Journey: 29 [49] 39
Shortest Journey: 29 [49] 39

Node 29 to node 40
Foremost Journey: 29 [49] 40
Shortest Journey: 29 [49] 40

Node 29 to node 41
Foremost Journey: 29 [49] 41
Shortest Journey: 29 [49] 41

Node 29 to node 42
Foremost Journey: 29 [49] 42
Shortest Journey: 29 [49] 42

Node 29 to node 43
Foremost Journey: 29 [49] 43
Shortest Journey: 29 [49] 43

Node 29 to node 44
Foremost Journey: 29 [49] 44
Shortest Journey: 29 [49] 44

Node 29 to node 45
Foremost Journey: 29 [49] 45
Shortest Journey: 29 [49] 45

Node 29 to node 46
Foremost Journey: 29 [49] 46
Shortest Journey: 29 [49] 46

Node 29 to node 47
Foremost Journey: 29 [49] 47
Shortest Journey: 29 [49] 47

Node 29 to node 48
Foremost Journey: 29 [49] 48
Shortest Journey: 29 [49] 48

Node 29 to node 49
Foremost Journey: 29 [49] 49
Shortest Journey: 29 [49] 49

Node 30 to node 0
Foremost Journey: 30 [49] 0
Shortest Journey: 30 [49] 0

Node 30 to node 1
Foremost Journey: 30 [49] 1
Shortest Journey: 30 [49] 1

Node 30 to node 2
Foremost Journey: 30 [49] 2
Shortest Journey: 30 [49] 2

Node 30 to node 3
Foremost Journey: 30 [49] 3
Shortest Journey: 30 [49] 3

Node 30 to node 4
Foremost Journey: 30 [49] 4
Shortest Journey: 30 [49] 4

Node 30 to node 5
Foremost Journey: 30 [49] 5
Shortest Journey: 30 [49] 5

Node 30 to node 6
Foremost Journey: 30 [49] 6
Shortest Journey: 30 [49] 6

Node 30 to node 7
Foremost Journey: 30 [49] 7
Shortest Journey: 30 [49] 7

Node 30 to node 8
Foremost Journey: 30 [49] 8
Shortest Journey: 30 [49] 8

Node 30 to node 9
Foremost Journey: 30 [49] 9
Shortest Journey: 30 [49] 9

Node 30 to node 10
Foremost Journey: 30 [49] 10
Shortest Journey: 30 [49] 10

Node 30 to node 11
Foremost Journey: 30 [49] 11
Shortest Journey: 30 [49] 11

Node 30 to node 12
Foremost Journey: 30 [49] 12
Shortest Journey: 30 [49] 12

Node 30 to node 13
Foremost Journey: 30 [49] 13
Shortest Journey: 30 [49] 13

Node 30 to node 14
Foremost Journey: 30 [49] 14
Shortest Journey: 30 [49] 14

Node 30 to node 15
Foremost Journey: 30 [49] 15
Shortest Journey: 30 [49] 15

Node 30 to node 16
Foremost Journey: 30 [49] 16
Shortest Journey: 30 [49] 16

Node 30 to node 17
Foremost Journey: 30 [49] 17
Shortest Journey: 30 [49] 17

Node 30 to node 18
Foremost Journey: 30 [49] 18
Shortest Journey: 30 [49] 18

Node 30 to node 19
Foremost Journey: 30 [49] 19
Shortest Journey: 30 [49] 19

Node 30 to node 20
Foremost Journey: 30 [49] 20
Shortest Journey: 30 [49] 20

Node 30 to node 21
Foremost Journey: 30 [49] 21
Shortest Journey: 30 [49] 21

Node 30 to node 22
Foremost Journey: 30 [49] 22
Shortest Journey: 30 [49] 22

Node 30 to node 23
Foremost Journey: 30 [49] 23
Shortest Journey: 30 [49] 23

Node 30 to node 24
Foremost Journey: 30 [49] 24
Shortest Journey: 30 [49] 24

Node 30 to node 25
Foremost Journey: 30 [49] 25
Shortest Journey: 30 [49] 25

Node 30 to node 26
Foremost Journey: 30 [49] 26
Shortest Journey: 30 [49] 26

Node 30 to node 27
Foremost Journey: 30 [49] 27
Shortest Journey: 30 [49] 27

Node 30 to node 28
Foremost Journey: 30 [49] 28
Shortest Journey: 30 [49] 28

Node 30 to node 29
Foremost Journey: 30 [49] 29
Shortest Journey: 30 [49] 29

Node 30 to node 31
Foremost Journey: 30 [49] 31
Shortest Journey: 30 [49] 31

Node 30 to node 32
Foremost Journey: 30 [49] 32
Shortest Journey: 30 [49] 32

Node 30 to node 33
Foremost Journey: 30 [49] 33
Shortest Journey: 30 [49] 33

Node 30 to node 34
Foremost Journey: 30 [49] 34
Shortest Journey: 30 [49] 34

Node 30 to node 35
Foremost Journey: 30 [49] 35
Shortest Journey: 30 [49] 35

Node 30 to node 36
Foremost Journey: 30 [49] 36
Shortest Journey: 30 [49] 36

Node 30 to node 37
Foremost Journey: 30 [49] 37
Shortest Journey: 30 [49] 37

Node 30 to node 38
Foremost Journey: 30 [49] 38
Shortest Journey: 30 [49] 38

Node 30 to node 39
Foremost Journey: 30 [49] 39
Shortest Journey: 30 [49] 39

Node 30 to node 40
Foremost Journey: 30 [49] 40
Shortest Journey: 30 [49] 40

Node 30 to node 41
Foremost Journey: 30 [49] 41
Shortest Journey: 30 [49] 41

Node 30 to node 42
Foremost Journey: 30 [49] 42
